BTC,ETH,HBAR,Portfolio
-0.02919892740892782,-0.04066382978723393,-0.0535947712418301,-0.0368710198162703
-0.02470939346655454,-0.03192633203811157,-0.11884731290808637,-0.041356009882829274
0.02254369045531579,0.036193953256502764,0.0358389739935876,0.029315574966472
0.0008488285023464659,0.010446367296113479,-0.03659375429907841,-0.0014084203400488108
-0.02053580630414431,-0.026670401036287483,-0.00492646008853348,-0.020341512528052795
0.05182302123379445,0.05742814288334874,0.08000287005811857,0.058011791134787064
-0.07940737649750307,-0.06544255960378653,-0.10337496678182301,-0.07811482912735027
-0.014088547276463248,-0.01977841190344476,-0.009928867812685316,-0.015456047976340087
-0.01542954011774833,-0.021239463814934356,-0.02499625804520267,-0.01889802110088159
-0.040547651018823294,-0.04295686482795247,-0.020110531163647583,-0.03832530787374215
-0.11589837033989214,-0.115199372093853,-0.1699044336518878,-0.12375463045057779
0.030515590718702246,0.04930871033932771,0.05888458997829593,0.04134853247486021
-0.0645152237244101,-0.11372175635748805,-0.1968630246858568,-0.10158968029020438
-0.003579655172413876,-0.0603727773308218,-0.03273413226808708,-0.02783041949220763
0.011856926466776496,0.029224025224948047,0.10783526442583469,0.03233216172599526
0.02719501922273837,0.02330319559640337,0.03717510614062336,0.02732989399120387
0.04198813609660523,0.04325708416292251,0.07288338658146976,0.04706655549254596
-0.046735216422543746,-0.05704380124026531,-0.026707612134747816,-0.04733908046557691
0.01987466668007487,0.03390669226658227,0.044937374509991246,0.028545281809839916
-0.0573238903335902,-0.08526055825707402,-0.09415317046390337,-0.0726261161263565
0.05610178911247288,0.05579158861878786,0.04131313131313119,0.05377492026978187
-0.03676519866241146,-0.030111257030998373,-0.02386264429139595,-0.03250093593576455
0.00837483334304423,0.008252047683039665,-0.0028818443804033977,0.006643356703525488
0.02867368771678791,0.03419756339826874,0.03687462627067961,0.03183718498838995
-0.03908519044985148,-0.033992904465090845,-0.04488658208381391,-0.03817309910027963
0.018925608353827394,0.0034392675070384904,-0.0025158498540807095,0.010289170326265062
-0.004117149784946372,-0.018517488739364985,-0.0157384987893463,-0.010900470769652875
-0.011083982968571826,-0.07732165851146011,-0.055965559655596464,-0.04099940591163642
-0.020339882109689733,-0.03822751175071737,-0.03973941368078171,-0.0295104822197132
0.014737588791401635,0.03951477160601313,0.011646313885119719,0.02294591154057337
0.015101951616672604,0.011647254575707144,0.008047390186654901,0.012834623437832038
0.07749956365152699,0.10205095372659834,0.08271426987470898,0.08687475611127926
